id,host_id,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,bathrooms,price,availability_365,availability_30,number_of_reviews,review_scores_rating,host_is_superhost,host_response_rate,instant_bookable,occupancy_rate
1044904509753399104,482483666,Centrum-West,52.3689528,4.8791707,Entire home,Entire home/apt,4,1.0,4.0,1.0,221.0,41,0,14,4.86,True,100.0,False,0.8876712328767123
1044926927390637022,21863140,Centrum-West,52.37202121286534,4.886802098849934,Entire condo,Entire home/apt,2,1.0,1.0,1.0,750.0,255,0,14,5.0,False,,False,0.3013698630136986
1045433169236018655,550777847,De Pijp - Rivierenbuurt,52.34640061440055,4.888250390361384,Entire rental unit,Entire home/apt,4,2.0,2.0,1.0,448.0,16,8,1,5.0,False,100.0,False,0.9561643835616438
1046295694453777232,30088469,Westerpark,52.3815466,4.871779,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,202.0,158,0,11,5.0,False,100.0,False,0.5671232876712329
1047164278095428559,283084793,Noord-Oost,52.42473,4.99409,Entire cabin,Entire home/apt,2,1.0,0.0,1.0,126.0,152,11,63,4.95,True,100.0,False,0.5835616438356164
1048479577090340582,32980375,De Pijp - Rivierenbuurt,52.352289,4.893502,Private room in guesthouse,Private room,2,1.0,1.0,1.0,125.0,15,1,35,4.94,True,100.0,False,0.9589041095890412
1048574767364360840,207757434,De Baarsjes - Oud-West,52.36604,4.85308,Entire rental unit,Entire home/apt,4,2.0,2.0,1.0,244.0,12,0,8,4.88,False,100.0,False,0.9671232876712329
1048588964202304442,490660666,Watergraafsmeer,52.35636541489837,4.93763473411805,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,225.0,234,1,1,5.0,False,100.0,False,0.35890410958904106
1048599639694248176,364305280,Bos en Lommer,52.37776,4.86124,Entire condo,Entire home/apt,2,1.0,1.0,1.0,350.0,251,0,3,5.0,True,100.0,False,0.3123287671232877
1048652247479404225,205602543,De Baarsjes - Oud-West,52.36505,4.86727,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,144.0,26,12,1,5.0,False,100.0,False,0.9287671232876712
1049440441397982037,6338146,De Baarsjes - Oud-West,52.37119069987372,4.850486492616699,Entire condo,Entire home/apt,2,1.0,1.0,1.0,385.0,89,29,1,4.0,False,,False,0.7561643835616438
1049791307434904542,551648789,De Pijp - Rivierenbuurt,52.35200657599608,4.901058034158587,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,228.0,0,0,5,4.8,False,,True,1.0
1050109192653551010,421225352,Watergraafsmeer,52.34162,4.9239,Private room in rental unit,Private room,2,1.0,1.0,1.0,90.0,3,3,24,5.0,True,90.0,False,0.9917808219178083
1050111500516083139,37860458,De Pijp - Rivierenbuurt,52.34177,4.89777,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,234.0,127,0,4,5.0,False,,False,0.6520547945205479
1050197244640065466,273266448,Watergraafsmeer,52.351280145253256,4.924061940162828,Room in hotel,Private room,6,1.0,4.0,1.0,304.0,346,21,83,4.8,True,79.0,True,0.05205479452054795
1050701946723049124,118311210,Oud-Oost,52.36052029632503,4.923409412796404,Entire villa,Entire home/apt,6,3.0,3.0,2.0,549.0,264,8,2,4.0,False,0.0,False,0.27671232876712326
1051217357420868195,71486319,De Baarsjes - Oud-West,52.36592008364305,4.863023371688022,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,145.0,5,5,1,5.0,False,100.0,False,0.9863013698630136
1051239524780091691,223165633,De Baarsjes - Oud-West,52.36146,4.86126,Casa particular,Entire home/apt,2,1.0,1.0,1.5,425.0,270,30,9,4.78,False,100.0,False,0.26027397260273977
1051309275590708317,353203166,Westerpark,52.380752211446016,4.87332774392121,Entire condo,Entire home/apt,2,1.0,1.0,1.0,230.0,158,0,10,5.0,False,,False,0.5671232876712329
1051853442817746570,117820649,De Aker - Nieuw Sloten,52.346870075911646,4.8066160744337445,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,240.0,365,30,1,5.0,False,,False,0.0
1052210813234547333,5294942,Centrum-Oost,52.37306,4.90352,Entire rental unit,Entire home/apt,2,0.0,1.0,1.0,198.0,231,9,15,4.93,True,93.0,False,0.3671232876712329
1052725228900518539,552247318,Bijlmer-Oost,52.31746,4.98628,Private room in townhouse,Private room,2,1.0,1.0,1.0,92.0,262,25,50,4.78,True,100.0,True,0.28219178082191776
1052987558193061620,3938465,Oud-Noord,52.38576399999999,4.9452823,Entire home,Entire home/apt,4,3.0,2.0,1.5,162.0,69,0,3,4.67,False,100.0,False,0.810958904109589
1053396101671935355,27205400,Slotervaart,52.36608,4.8324,Entire home,Entire home/apt,2,1.0,1.0,1.5,218.0,137,0,7,4.57,False,100.0,False,0.6246575342465753
1055159213924976842,2212219,Oud-Oost,52.35696,4.90831,Private room in rental unit,Private room,2,1.0,1.0,1.5,158.0,260,1,141,4.91,True,100.0,True,0.28767123287671237
1055774883076478044,15428298,Bos en Lommer,52.38025665873061,4.858216377355834,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,252.0,268,28,3,4.33,False,100.0,False,0.26575342465753427
1055844731252164829,136643553,Geuzenveld - Slotermeer,52.3831,4.78879,Entire rental unit,Entire home/apt,5,2.0,3.0,1.0,180.0,309,13,67,4.87,True,100.0,True,0.1534246575342466
1056481934024887960,23453990,Centrum-West,52.3720175,4.878348,Entire rental unit,Entire home/apt,2,1.0,0.0,1.5,281.0,63,1,14,5.0,True,100.0,False,0.8273972602739725
1057052812716612448,3663294,De Baarsjes - Oud-West,52.371316,4.8739682,Entire rental unit,Entire home/apt,4,2.0,2.0,1.0,254.0,8,2,10,5.0,False,100.0,False,0.9780821917808219
1057112589655164286,53547478,Westerpark,52.3821246,4.8688582,Entire condo,Entire home/apt,3,1.0,2.0,1.0,253.0,77,0,22,4.95,False,100.0,False,0.7890410958904109
1057730249268434967,61754173,Oud-Oost,52.35427,4.92013,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,407.0,253,2,11,5.0,True,,False,0.3068493150684931
1058176062560231945,486429198,Geuzenveld - Slotermeer,52.38271,4.79632,Entire rental unit,Entire home/apt,6,3.0,3.0,1.0,263.0,221,0,11,4.91,True,100.0,True,0.3945205479452055
1058590282228782699,1430589,Centrum-West,52.3800246,4.879523799999999,Entire rental unit,Entire home/apt,4,4.0,3.0,3.0,327.0,37,0,1,5.0,False,75.0,False,0.8986301369863013
1059411093711779931,553790830,Osdorp,52.35215,4.79521,Private room in rental unit,Private room,2,1.0,1.0,1.0,90.0,176,26,5,5.0,False,0.0,False,0.5178082191780822
1059964747657859493,28696403,De Pijp - Rivierenbuurt,52.3559791295299,4.90237529849759,Entire condo,Entire home/apt,2,1.0,1.0,1.5,258.0,172,25,0,,False,100.0,False,0.5287671232876712
1060033526755918543,4473752,Noord-West,52.41868,4.90109,Entire home,Entire home/apt,4,4.0,3.0,1.0,225.0,248,10,0,,False,80.0,False,0.32054794520547947
1060315199077089336,128080501,Bos en Lommer,52.37686898632025,4.859128072857857,Entire rental unit,Entire home/apt,1,1.0,0.0,1.0,133.0,39,0,6,5.0,False,100.0,False,0.8931506849315068
