listing_id,date
1189846802956607130,2024-11-26
43388883,2022-01-02
22062268,2022-05-29
2830788,2023-10-16
883053599514590236,2025-04-20
953539337193788533,2025-04-27
28146045,2019-01-03
5982570,2024-10-20
15046252,2022-07-07
50383849,2023-07-03
8084800,2019-12-05
21486402,2022-02-10
1299652,2015-11-22
4051748,2023-05-14
31925577,2019-05-26
905677609043113133,2023-11-15
1630603,2023-07-14
23020332,2022-10-13
11252596,2025-04-05
4209897,2021-10-19
15110844,2019-10-19
657649747876552659,2022-12-04
1246242,2017-08-12
45539425,2024-10-26
50193797,2025-08-06
30461243,2019-04-22
20791949,2023-11-14
4448285,2018-10-29
4283460,2019-02-08
4721743,2020-11-01
45210760,2021-11-05
26736625,2019-12-01
16591325,2018-11-13
1262926523628473517,2025-01-01
18514892,2017-12-30
729260,2013-09-16
29046160,2022-07-12
26312125,2019-08-06
5707655,2023-10-04
17509209,2024-11-14
6297430,2021-11-20
23783715,2021-12-25
13966822,2017-09-05
1708637,2022-12-26
837937944708744469,2025-02-11
28946381,2022-04-24
45695711,2023-06-30
4224540,2015-05-25
7523012,2015-11-16
1049395768769831806,2024-04-01
30770374,2025-06-19
11161861,2020-09-13
20405959,2025-04-09
2981861,2023-03-10
97221,2023-08-14
1580186,2017-03-15
817716,2023-11-30
3036789,2022-10-23
50523,2019-03-14
34386174,2022-04-19
15046252,2017-12-10
7812608,2017-04-23
4282186,2018-05-04
775655,2014-03-27
6571994,2022-06-26
40833312,2025-06-15
20433472,2024-05-20
32559296,2022-10-11
43672517,2024-10-10
48142991,2022-09-19
45429116,2025-01-14
1080404315599095169,2024-07-30
664104520521304566,2024-08-06
16582068,2017-09-05
588020,2023-03-17
6474026,2022-12-05
23977668,2025-07-03
835365880069241102,2025-05-06
713667623231781051,2022-10-01
1052843680639684974,2025-07-17
48305619,2024-02-09
15033074,2020-08-07
11822995,2017-04-30
1097165156031813074,2024-04-29
627188,2019-10-25
1249747819681501221,2025-09-01
24127480,2020-03-17
51302114,2024-09-28
728144,2016-03-13
13836709,2024-11-24
52687629,2023-06-17
881907353924190203,2024-07-21
754613,2021-06-26
992812920752862197,2024-03-10
29051,2017-07-30
1000137169358231636,2024-05-20
10432232,2019-12-22
38214492,2020-03-01
21633099,2025-08-08
1057494,2025-07-14
24732648,2018-09-06
50452179,2025-06-28
11239298,2024-09-16
43343986,2023-05-20
32485135,2024-10-25
3346620,2024-12-13
19868291,2019-12-14
655216,2016-06-04
957162039010316681,2024-12-23
14921039,2017-05-16
6133157,2015-06-22
1889863,2017-01-28
23314984,2025-07-20
781677408519115458,2024-10-18
14022135,2019-09-29
1424065990327499900,2025-08-17
50452179,2024-07-01
1814121,2019-04-30
168769,2019-07-21
5617321,2015-06-23
802052,2015-11-05
1901877,2024-09-07
29901220,2023-09-05
6043774,2022-04-11
21211980,2019-05-05
21718646,2023-04-02
16249620,2024-03-20
19847628,2017-08-13
1358042,2018-09-30
815206609241475878,2024-08-18
15013026,2022-03-31
9343949,2024-09-14
32485135,2024-05-14
1630603,2019-05-16
24137393,2018-11-09
